voucher,ID,Locality,Latitude,Longitude,Altitude (m.a.s.l.),Lineage,Andean foothills,Hs,suit_LGM
1,R70_T7,San Lorenzo,1.2368,-78.7739,50,North,No,0.3607784,0.236968655
2,R70_T8,San Lorenzo,1.2368,-78.7739,50,North,No,0.3806735,0.236968655
3,R70_T50,Mompiche,0.50031,-80.00467,77,North,No,0.3972603,0.394169586
4,R70_T51,Mompiche,0.50031,-80.00467,77,North,No,0.4201012,0.394169586
5,R70_T47,Guachalá,0.39522,-79.64594,390,North,No,0.3738113,0.306171826
6,R70_T46,Guachalá,0.3915,-79.61869,353,North,No,0.3688406,0.342119317
7,R70_T52,Chamanga,0.29222,-79.93883,14,North,No,0.3864483,0.528093109
8,R70_T16,Chamanga,0.28857,-78.88945,24,North,No,0.3799567,0.113632128
9,R70_T53,Chindul,0.28692,-79.94461,35,North,No,0.331076,0.538919432
10,R70_T15,Chindul,0.26336,-78.85291,35,North,No,0.3830258,0.154189151
11,R70_T54,Pata de Pájaro,0.25539,-79.87903,100,North,No,0.4166065,0.514918333
12,R70_T55,Pata de Pájaro,0.25539,-79.87903,100,North,No,0.4015977,0.514918333
13,R70_T14,El Achiote,0.24722,-78.78691,103,North,No,0.4029304,0.170735578
14,R70_T12,El Achiote,0.14311,-78.77019,150,North,No,0.3997104,0.109563064
15,R70_T13,Lalo Loor,0.14311,-78.77019,100,North,No,0.3848418,0.109563064
16,R70_T58,Lalo Loor,0.05114,-79.97019,100,North,No,0.3925439,0.540398766
17,R70_T59,El Carmen,0.05114,-79.97019,193,North,No,0.3801894,0.540398766
18,R70_T60,El Carmen,0.00372,-79.89258,172,North,No,0.3569364,0.53899609
19,R70_T61,El Carmen,-0.01528,-79.89192,162,North,No,0.4062049,0.519724849
20,R70_T56,Convento,-0.07748,-80.15316,209,North,No,0.4112012,0.616389273
21,R70_T57,Convento,-0.07748,-80.15316,209,North,No,0.4286759,0.616389273
22,R70_T63,Venado,-0.08997,-79.59858,221,North,No,0.3607641,0.403123511
23,R70_T64,Tigrillo,-0.10919,-79.60178,190,North,No,0.4761216,0.397319182
24,R70_T19,Zapote,-0.13305,-78.99805,200,North,No,0.4016153,0.113616712
25,R70_T62,Zapote,-0.16928,-79.54561,200,North,No,0.3900075,0.324032646
26,R71_T11,San Isidro,-0.25891,-80.04855,189,North,No,0.3971119,0.451930794
27,R71_T12,San Isidro,-0.25891,-80.04855,189,North,No,0.4216255,0.451930794
28,R71_T7,B. de Caráquez,-0.30447,-79.53867,312,North,No,0.3427536,0.28352482
29,R70_T21,B. de Caráquez,-0.31259,-78.91003,245,North,No,0.4125461,0.109472204
30,R70_T20,Río Grande,-0.31327,-78.93134,26,North,No,0.4585436,0.134934176
31,R70_T17,Río Grande,-0.32032,-78.95189,26,North,No,0.4206349,0.147565764
32,R70_T18,Los Suches,-0.32044,-78.94897,18,North,No,0.4110294,0.139513269
33,R71_T8,Chone,-0.3577,-79.56891,70,North,No,0.4122302,0.340129887
34,R71_T9,Chone,-0.37576,-79.60509,185,North,No,0.3891304,0.363668231
35,R71_T10,Chone,-0.37576,-79.60509,95,North,No,0.3843931,0.363668231
36,R70_T24,Patricia Pilar,-0.42271,-78.95614,166,North,No,0.3914616,0.084602621
37,R70_T23,Patricia Pilar,-0.42419,-78.95699,156,North,No,0.4132948,0.084602621
38,R70_T22,Patricia Pilar,-0.42444,-78.95815,129,North,No,0.3895818,0.084602621
39,R71_T13,Junín - Jipijapa,-0.43974,-80.07135,470,North,No,0.4177584,0.481229174
40,R71_T14,Las Brisas,-0.43974,-80.07135,469,North,No,0.4422934,0.481229174
41,R71_T16,Las Brisas,-0.45082,-80.31208,458,North,No,0.3469844,0.525687304
42,R71_T15,Las Brisas,-0.56264,-80.34145,156,North,No,0.4004392,0.591518769
43,R70_T25,Pacoche,-0.58957,-79.36072,240,North,No,0.3738806,0.15955431
44,R70_T27,Pacoche,-0.59,-79.36055,288,North,No,0.3412287,0.15955431
45,R70_T26,Pacoche,-0.59203,-79.36055,345,North,No,0.2842262,0.15955431
46,R71_T17,Jauneche,-0.68666,-80.01356,43,North,No,0.3991323,0.540563567
47,R71_T18,Jauneche,-0.68666,-80.01356,43,North,No,0.3956204,0.540563567
48,R71_T19,Jauneche,-0.70648,-80.07593,43,North,No,0.3719912,0.633844732
49,R71_T21,Jipijapa,-0.7332,-80.07427,395,North,No,0.3902969,0.601182552
50,R71_T20,Jipijapa,-0.73355,-80.07475,492,North,No,0.3299045,0.601182552
51,R71_T22,Puerto Cayo,-0.74375,-80.0935,102,North,No,0.4041787,0.636583447
52,R71_T26,La Trinidad,-0.98062,-80.25239,144,North,No,0.4186047,0.645308454
53,R71_T27,La Trinidad,-0.99413,-80.23463,143,North,No,0.3586156,0.663524912
54,R71_T28,Paján,-1.00651,-80.22987,150,North,No,0.4536232,0.670195513
55,R71_T29,Agua Blanca,-1.01944,-80.24204,387,North,No,0.384959,0.673349864
56,R71_T23,Agua Blanca,-1.05936,-80.88293,387,North,No,0.365243,0.596640317
57,R71_T24,El Pital,-1.06544,-80.88396,150,North,No,0.3789855,0.597843385
58,R71_T25,El Triunfo,-1.07773,-80.86381,74,North,No,0.3384168,0.58727793
59,R70_T28,Ayampe,-1.24043,-79.66695,229,North,No,0.3487859,0.581500973
60,R70_T29,La Rinconada,-1.24043,-79.66695,181,North,No,0.3265602,0.581500973
61,R70_T30,El Corazón,-1.24043,-79.66695,1178,North,Yes,0.3381818,0.581500973
62,R71_T30,Magdalena,-1.33888,-80.67166,1115,North,Yes,0.3115242,0.583516883
63,R71_T31,Chaguaraco,-1.34414,-80.65645,809,North,Yes,0.334058,0.584428149
64,R71_T32,Pacto,-1.346,-80.675,1220,North,Yes,0.4569153,0.583516883
65,R71_T34,Pacto,-1.52755,-80.43038,1220,North,Yes,0.3693759,0.54194804
66,R71_T33,Los Bancos,-1.53235,-80.42584,699,North,Yes,0.373913,0.54194804
67,R71_T35,Otongachi,-1.55169,-80.46259,850,North,Yes,0.3880058,0.528612783
68,R71_T36,Otongachi,-1.56033,-80.75016,924,North,Yes,0.4013062,0.487533573
69,R71_T37,"Boloña, Toachi",-1.56033,-80.75016,866,North,Yes,0.3627806,0.487533573
70,R71_T39,"Boloña, Toachi",-1.60608,-80.75164,1155,North,Yes,0.3619942,0.463529568
71,R71_T40,Las Pampas,-1.6329,-80.75236,1517,North,Yes,0.4099561,0.451189238
72,R71_T41,Las Pampas,-1.67811,-80.76038,1485,North,Yes,0.3879185,0.41451623
73,R71_T38,Las Pampas,-1.70661,-80.79433,1371,North,Yes,0.3458702,0.463629733
74,R70_T31,Balzapamba,-1.77847,-79.21677,530,North,Yes,0.3774689,0.246150024
75,R70_T32,Balzapamba,-1.77847,-79.21677,639,North,Yes,0.4057227,0.246150024
76,R70_T33,Balzapamba,-1.77847,-79.21677,994,North,Yes,0.3807107,0.246150024
77,R70_T36,Pallatanga,-2.09756,-79.01922,483,North,Yes,0.3658182,0.13595405
78,R70_T35,Pallatanga,-2.13797,-79.04458,578,North,Yes,0.3976608,0.13184525
79,R70_T34,Pallatanga,-2.17036,-79.07183,585,North,Yes,0.4442826,0.135260638
80,R70_T37,Tamarindo,-2.66825,-79.45094,1100,South,Yes,0.3824613,0.256643434
81,R70_T38,Tamarindo,-2.66825,-79.45094,1100,South,Yes,0.3622975,0.256643434
82,R70_T39,Tamarindo,-2.66825,-79.45094,1100,South,Yes,0.3644928,0.256643434
83,R70_T40,Camilo Ponce,-3.07956,-79.68231,1188,South,Yes,0.3115356,0.296439202
84,R70_T41,Camilo Ponce,-3.07983,-79.67783,1190,South,Yes,0.3855157,0.296439202
85,R70_T42,Camilo Ponce,-3.089,-79.66392,1136,South,Yes,0.3676798,0.371643311
86,R70_T43,Piñas,-3.67392,-79.70255,1048,South,Yes,0.3079179,0.291231342
87,R70_T44,Piñas,-3.67392,-79.70255,1048,South,Yes,0.328614,0.291231342
88,R70_T45,Piñas,-3.67392,-79.70255,1048,South,Yes,0.3450549,0.291231342
